"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 03:00","2018","04","02","03:00","-7.1","","-8.9","","87","","0.0","","27","","2","","","","98.22","","","","-8","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 04:00","2018","04","02","04:00","-4.9","","-7.1","","85","","0.0","","26","","4","","","","98.26","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 05:00","2018","04","02","05:00","-4.3","","-6.6","","84","","0.0","","36","","12","","","","98.32","","","","-9","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 06:00","2018","04","02","06:00","-5.0","","-7.3","","84","","0.0","","36","","7","","","","98.36","","","","-8","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 07:00","2018","04","02","07:00","-4.6","","-7.3","","81","","0.0","","1","","6","","","","98.36","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 08:00","2018","04","02","08:00","-2.8","","-7.3","","71","","0.0","","34","","7","","","","98.41","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 09:00","2018","04","02","09:00","-1.6","","-7.4","","64","","0.0","","27","","7","","","","98.43","","","","-4","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 10:00","2018","04","02","10:00","-0.9","","-8.9","","55","","0.0","","26","","9","","","","98.43","","","","-4","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 11:00","2018","04","02","11:00","0.6","","-8.5","","51","","0.0","","27","","16","","","","98.44","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 12:00","2018","04","02","12:00","1.4","","-8.6","","47","","0.0","","22","","12","","","","98.32","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 13:00","2018","04","02","13:00","2.7","","-8.8","","42","","0.0","","26","","14","","","","98.39","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 14:00","2018","04","02","14:00","3.4","","-8.9","","40","","0.0","","26","","15","","","","98.29","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 15:00","2018","04","02","15:00","3.9","","-7.7","","43","","0.0","","29","","9","","","","98.23","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 16:00","2018","04","02","16:00","3.1","","-8.2","","43","","0.0","","28","","15","","","","98.26","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 17:00","2018","04","02","17:00","3.2","","-6.5","","49","","0.0","","30","","11","","","","98.26","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 18:00","2018","04","02","18:00","2.0","","-7.3","","50","","0.0","","30","","10","","","","98.28","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 19:00","2018","04","02","19:00","0.5","","-7.7","","54","","0.0","","31","","10","","","","98.30","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 20:00","2018","04","02","20:00","-1.1","","-6.0","","69","","0.0","","36","","11","","","","98.34","","","","-5","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 21:00","2018","04","02","21:00","-1.2","","-6.1","","69","","0.0","","2","","7","","","","98.32","","","","-4","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 22:00","2018","04","02","22:00","-1.4","","-6.1","","70","","0.0","","0","","1","","","","98.35","","","","-2","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-02 23:00","2018","04","02","23:00","-1.7","","-5.4","","75","","0.0","","6","","3","","","","98.32","","","","-3","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 00:00","2018","04","03","00:00","-1.8","","-6.0","","73","","0.0","","5","","4","","","","98.31","","","","-3","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 01:00","2018","04","03","01:00","-1.8","","-6.3","","71","","0.0","","13","","3","","","","98.33","","","","-3","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 02:00","2018","04","03","02:00","-1.7","","-4.9","","79","","0.0","","7","","6","","","","98.26","","","","-4","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 03:00","2018","04","03","03:00","-2.1","","-5.8","","76","","0.0","","10","","6","","","","98.25","","","","-4","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 04:00","2018","04","03","04:00","-1.6","","-5.3","","76","","0.0","","9","","9","","","","98.20","","","","-5","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 05:00","2018","04","03","05:00","-1.6","","-5.8","","73","","0.0","","9","","9","","","","98.18","","","","-5","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 06:00","2018","04","03","06:00","-2.0","","-6.1","","74","","0.0","","7","","13","","","","98.15","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 07:00","2018","04","03","07:00","-0.9","","-7.7","","60","","0.0","","7","","17","","","","98.15","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 08:00","2018","04","03","08:00","-0.3","","-8.0","","56","","0.0","","8","","20","","","","98.16","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 09:00","2018","04","03","09:00","0.4","","-7.7","","54","","0.0","","9","","17","","","","98.13","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 10:00","2018","04","03","10:00","1.7","","-7.7","","50","","0.0","","8","","17","","","","98.08","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 11:00","2018","04","03","11:00","2.9","","-7.7","","46","","0.0","","8","","23","","","","97.94","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 12:00","2018","04","03","12:00","3.1","","-7.0","","48","","0.0","","8","","20","","","","97.80","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 13:00","2018","04","03","13:00","3.4","","-7.6","","44","","0.0","","9","","18","","","","97.80","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 14:00","2018","04","03","14:00","3.4","","-7.5","","45","","0.0","","9","","21","","","","97.64","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 15:00","2018","04","03","15:00","3.0","","-6.6","","49","","0.0","","8","","20","","","","97.59","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 16:00","2018","04","03","16:00","2.6","","-5.1","","57","","0.0","","10","","17","","","","97.53","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 17:00","2018","04","03","17:00","1.9","","-5.2","","59","","0.0","","8","","20","","","","97.34","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 18:00","2018","04","03","18:00","0.5","","-2.8","","78","","0.3","","9","","20","","","","97.23","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 19:00","2018","04","03","19:00","-0.3","","-1.9","","89","","1.5","","5","","17","","","","97.24","","","","-5","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 20:00","2018","04","03","20:00","-0.7","","-1.3","","96","","3.4","","7","","24","","","","96.99","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 21:00","2018","04","03","21:00","-0.1","","-0.8","","95","","3.3","","6","","25","","","","96.88","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 22:00","2018","04","03","22:00","0.0","","-0.9","","94","","3.2","","6","","24","","","","96.74","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-03 23:00","2018","04","03","23:00","0.0","","-0.9","","93","","0.0","","7","","17","","","","96.53","","","","-5","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 00:00","2018","04","04","00:00","0.0","","-0.9","","94","","0.3","","8","","9","","","","96.42","","","","-3","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 01:00","2018","04","04","01:00","0.1","","-0.7","","94","","0.0","","8","","9","","","","96.12","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 02:00","2018","04","04","02:00","0.2","","-0.6","","95","","0.8","","8","","7","","","","95.97","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 03:00","2018","04","04","03:00","0.2","","-0.5","","95","","1.7","","8","","6","","","","95.85","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 04:00","2018","04","04","04:00","0.2","","-0.5","","95","","0.5","","7","","7","","","","95.69","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 05:00","2018","04","04","05:00","0.2","","-0.4","","96","","0.3","","7","","4","","","","95.57","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 06:00","2018","04","04","06:00","0.3","","-0.3","","96","","0.2","","9","","4","","","","95.54","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 07:00","2018","04","04","07:00","0.3","","-0.2","","96","","0.5","","15","","4","","","","95.55","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 08:00","2018","04","04","08:00","1.0","","0.4","","96","","1.2","","22","","23","","","","95.57","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 09:00","2018","04","04","09:00","1.1","","-1.2","","85","","1.1","","22","","18","","","","95.53","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 10:00","2018","04","04","10:00","2.0","","-1.8","","76","","0.0","","23","","29","","","","95.56","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 11:00","2018","04","04","11:00","-1.2","","-3.5","","84","","0.0","","27","","36","","","","95.76","","","","-9","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 12:00","2018","04","04","12:00","-2.5","","-5.3","","81","","0.0","","27","","39","","","","95.96","","","","-11","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 13:00","2018","04","04","13:00","-4.0","","-6.3","","84","","0.0","","28","","44","","","","96.13","","","","-13","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 14:00","2018","04","04","14:00","-5.0","","-6.4","","90","","0.0","","29","","49","","","","96.36","","","","-15","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 15:00","2018","04","04","15:00","-5.7","","-7.4","","88","","0.2","","29","","42","","","","96.57","","","","-15","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 16:00","2018","04","04","16:00","-5.8","","-7.1","","90","","0.0","","30","","44","","","","96.81","","","","-16","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 17:00","2018","04","04","17:00","-6.3","","-8.5","","85","","0.2","","31","","47","","","","97.08","","","","-16","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 18:00","2018","04","04","18:00","-6.2","","-8.1","","86","","0.0","","30","","32","","","","97.32","","","","-15","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 19:00","2018","04","04","19:00","-6.1","","-8.3","","85","","0.0","","31","","29","","","","97.50","","","","-14","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 20:00","2018","04","04","20:00","-6.6","","-8.7","","85","","0.0","","31","","22","","","","97.69","","","","-14","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 21:00","2018","04","04","21:00","-5.7","","-7.7","","86","","0.2","","30","","26","","","","97.81","","","","-13","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 22:00","2018","04","04","22:00","-5.1","","-9.6","","71","","0.0","","30","","25","","","","97.90","","","","-12","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-04 23:00","2018","04","04","23:00","-5.0","","-12.1","","57","","0.0","","30","","21","","","","97.98","","","","-12","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 00:00","2018","04","05","00:00","-5.1","","-11.7","","60","","0.0","","30","","21","","","","98.05","","","","-12","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 01:00","2018","04","05","01:00","-7.0","","-11.3","","71","","0.0","","34","","9","","","","98.11","","","","-11","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 02:00","2018","04","05","02:00","-8.3","","-13.8","","65","","0.3","","35","","9","","","","98.13","","","","-13","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 03:00","2018","04","05","03:00","-8.6","","-14.9","","60","","0.0","","32","","7","","","","98.18","","","","-12","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 04:00","2018","04","05","04:00","-10.5","","-18.5","","52","","0.0","","30","","5","","","","98.21","","","","-14","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 05:00","2018","04","05","05:00","-14.5","","-18.2","","73","","0.0","","28","","7","","","","98.26","","","","-19","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 06:00","2018","04","05","06:00","-14.7","","-17.9","","77","","0.0","","27","","6","","","","98.30","","","","-19","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 07:00","2018","04","05","07:00","-12.0","","-17.4","","64","","0.0","","27","","6","","","","98.36","","","","-16","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 08:00","2018","04","05","08:00","-8.8","","-17.4","","50","","0.0","","27","","7","","","","98.39","","","","-13","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 09:00","2018","04","05","09:00","-7.2","","-14.6","","55","","0.0","","27","","9","","","","98.43","","","","-12","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 10:00","2018","04","05","10:00","-5.0","","-13.5","","51","","0.0","","26","","6","","","","98.44","","","","-8","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 11:00","2018","04","05","11:00","-4.2","","-13.8","","47","","0.0","","28","","17","","","","98.43","","","","-10","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 12:00","2018","04","05","12:00","-3.2","","-15.6","","38","","0.0","","27","","21","","","","98.43","","","","-9","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 13:00","2018","04","05","13:00","-2.8","","-15.6","","36","","0.0","","27","","23","","","","98.41","","","","-9","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 14:00","2018","04","05","14:00","-2.1","","-13.6","","41","","0.0","","28","","19","","","","98.37","","","","-8","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 15:00","2018","04","05","15:00","-1.7","","-12.2","","44","","0.0","","29","","20","","","","98.31","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 16:00","2018","04","05","16:00","-2.4","","-8.2","","64","","0.0","","29","","27","","","","98.31","","","","-9","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 17:00","2018","04","05","17:00","-2.0","","-8.7","","60","","0.0","","28","","13","","","","98.22","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 18:00","2018","04","05","18:00","-1.9","","-8.9","","59","","0.0","","24","","7","","","","98.18","","","","-5","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 19:00","2018","04","05","19:00","-2.8","","-12.5","","47","","0.0","","25","","8","","","","98.19","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 20:00","2018","04","05","20:00","-3.5","","-10.3","","59","","0.0","","23","","5","","","","98.19","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 21:00","2018","04","05","21:00","-5.4","","-8.9","","76","","0.0","","17","","4","","","","98.16","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 22:00","2018","04","05","22:00","-4.2","","-9.1","","68","","0.0","","17","","6","","","","98.08","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-05 23:00","2018","04","05","23:00","-4.1","","-8.7","","70","","0.0","","19","","3","","","","98.02","","","","-5","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 00:00","2018","04","06","00:00","-3.1","","-9.1","","63","","0.0","","19","","10","","","","97.96","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 01:00","2018","04","06","01:00","-3.2","","-9.1","","64","","0.0","","20","","8","","","","97.89","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 02:00","2018","04","06","02:00","-3.0","","-8.0","","68","","0.0","","19","","12","","","","97.82","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 03:00","2018","04","06","03:00","-3.3","","-7.4","","73","","0.0","","19","","8","","","","97.74","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 04:00","2018","04","06","04:00","-3.3","","-6.6","","78","","0.0","","19","","5","","","","97.65","","","","-5","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 05:00","2018","04","06","05:00","-3.6","","-6.2","","82","","0.0","","18","","6","","","","97.53","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 06:00","2018","04","06","06:00","-4.1","","-6.2","","86","","0.0","","16","","4","","","","97.42","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 07:00","2018","04","06","07:00","-3.4","","-5.8","","84","","0.0","","20","","4","","","","97.40","","","","-5","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 08:00","2018","04","06","08:00","-2.1","","-5.6","","77","","0.0","","20","","6","","","","97.31","","","","-4","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 09:00","2018","04","06","09:00","-1.3","","-4.7","","78","","0.0","","19","","17","","","","97.23","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 10:00","2018","04","06","10:00","-1.7","","-3.0","","91","","0.0","","18","","13","","","","97.13","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 11:00","2018","04","06","11:00","-1.3","","-2.5","","91","","0.0","","16","","14","","","","97.02","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 12:00","2018","04","06","12:00","-0.9","","-2.0","","93","","0.3","","14","","12","","","","96.87","","","","-5","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 13:00","2018","04","06","13:00","-0.7","","-1.6","","94","","0.6","","15","","11","","","","96.77","","","","-4","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 14:00","2018","04","06","14:00","-0.6","","-1.3","","95","","0.5","","17","","13","","","","96.73","","","","-5","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 15:00","2018","04","06","15:00","-0.1","","-1.0","","94","","0.3","","22","","11","","","","96.68","","","","-4","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 16:00","2018","04","06","16:00","0.3","","-1.5","","88","","0.4","","27","","29","","","","96.72","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 17:00","2018","04","06","17:00","-0.5","","-3.3","","82","","0.0","","29","","38","","","","96.84","","","","-8","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 18:00","2018","04","06","18:00","-1.2","","-4.2","","80","","0.0","","29","","29","","","","96.93","","","","-8","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 19:00","2018","04","06","19:00","-1.5","","-5.9","","72","","0.0","","29","","36","","","","97.00","","","","-9","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 20:00","2018","04","06","20:00","-2.0","","-6.0","","74","","0.0","","28","","31","","","","97.12","","","","-9","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 21:00","2018","04","06","21:00","-2.5","","-7.3","","70","","0.0","","29","","30","","","","97.22","","","","-10","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 22:00","2018","04","06","22:00","-3.1","","-9.0","","64","","0.0","","29","","39","","","","97.31","","","","-11","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-06 23:00","2018","04","06","23:00","-3.8","","-8.9","","67","","0.0","","29","","41","","","","97.37","","","","-13","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-07 00:00","2018","04","07","00:00","-4.4","","-9.7","","67","","0.0","","29","","39","","","","97.44","","","","-13","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-07 01:00","2018","04","07","01:00","-4.8","","-9.5","","70","","0.0","","30","","37","","","","97.51","","","","-14","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-07 02:00","2018","04","07","02:00","-5.3","","-10.8","","65","","0.0","","29","","37","","","","97.58","","","","-14","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-07 03:00","2018","04","07","03:00","-5.2","","-9.9","","69","","0.0","","29","","28","","","","97.61","","","","-13","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-07 04:00","2018","04","07","04:00","-5.2","","-11.7","","60","","0.0","","30","","26","","","","97.66","","","","-13","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-07 05:00","2018","04","07","05:00","-5.7","","-12.0","","61","","0.2","","31","","23","","","","97.71","","","","-13","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-07 06:00","2018","04","07","06:00","-6.1","","-12.4","","61","","0.0","","31","","16","","","","97.76","","","","-12","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2018-04-07 07:00","2018","04","07","07:00","-5.3","","-12.0","","59","","0.0","","30","","20","","","","97.84","","","","-12","","NA"
